Local Government Areas,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house",Total
Rockdale (C),18402,3623,1333,2923,5371,5939,93,37679
Blacktown (C),77966,4762,5301,1419,1711,1356,112,92622
Burwood (A),6300,744,389,1035,1647,1414,16,11551
Camden (A),15882,435,199,272,0,0,32,16817
Campbelltown (C),40117,4450,4029,1062,225,220,18,50120
Canada Bay (A),14174,1071,1909,2937,3672,4289,46,28096
Canterbury (C),25929,2254,2976,12210,5013,1299,38,49724
Bankstown (C),43238,3766,4922,2821,3708,1704,87,60250
Fairfield (C),44660,2371,3870,2642,3279,1555,79,58464
Kogarah (A),11912,604,874,2050,2427,2677,80,20625
Hornsby (A),41447,1372,3160,1991,3829,3687,144,55620
Ashfield (A),6569,1214,1050,3245,4091,670,59,16896
Marrickville (A),11700,5440,2979,5277,4965,1963,151,32476
Leichhardt (A),8233,3876,4901,1823,2285,2461,101,23679
Ku-ring-gai (A),30487,252,836,2178,1446,845,75,36115
Lane Cove (A),6451,256,453,969,2039,2783,32,12982
Liverpool (C),42071,2196,3420,2177,2747,2185,26,54838
Mosman (A),4689,773,624,1282,2653,2423,39,12477
North Sydney (A),4597,1445,3579,3735,6851,13343,43,33590
Manly (A),6769,749,1017,2418,2637,3658,67,17317
Warringah (A),32607,1016,2161,4598,10264,3288,315,54250
Pittwater (A),17569,465,1323,780,1143,766,284,22332
Parramatta (C),32425,3214,4114,5321,7647,5368,96,58191
Penrith (C),52204,2371,2979,2064,1770,290,72,61747
Randwick (C),16769,4308,3417,6729,12295,8966,102,52582
Ryde (C),21591,2940,3183,2134,7009,2882,68,39815
Strathfield (A),6043,179,533,1823,1093,2248,8,11919
Sutherland Shire (A),53245,3298,5746,4121,7701,6339,133,80593
Sydney (C),4145,3678,13628,4363,9999,49126,129,85073
Baulkham Hills (A),46089,1298,4163,865,722,962,95,54204
Waverley (A),6223,2756,2266,4836,7492,6416,75,30065
Willoughby (C),13612,1027,1121,1599,3107,6548,50,27067
Woollahra (A),5984,724,4563,2726,4307,7071,20,25401
Total,770103,68934,97021,96423,135148,154745,2789,1325172