Local Government Areas,Fully owned,Being purchased,Being purchased under a rent/buy scheme,Rented,Total
Rockdale (C),12312,8713,61,10287,31368
Blacktown (C),20946,35383,229,26029,82582
Burwood (A),3701,2399,33,3625,9753
Camden (A),4042,8107,19,2961,15136
Campbelltown (C),10842,19076,111,14252,44288
Canada Bay (A),8928,7080,28,7564,23604
Canterbury (C),14602,11350,173,15968,42087
Bankstown (C),20115,16475,172,15560,52314
Fairfield (C),18083,16969,238,15976,51271
Kogarah (A),7248,5529,47,4787,17614
Hornsby (A),19201,19273,51,10415,48942
Ashfield (A),4431,3637,28,6151,14248
Marrickville (A),7013,7946,54,12176,27185
Leichhardt (A),5000,6435,20,8284,19740
Ku-ring-gai (A),16472,11600,23,3903,31998
Lane Cove (A),3975,3633,13,3482,11106
Liverpool (C),11942,20264,150,14817,47176
Mosman (A),3873,2625,9,3656,10174
North Sydney (A),6738,5709,28,13715,26189
Manly (A),5030,3642,17,4975,13663
Warringah (A),17206,16865,53,12426,46556
Pittwater (A),7726,6850,18,3368,17966
Parramatta (C),14369,14697,152,19529,48743
Penrith (C),15625,24497,144,14939,55200
Randwick (C),13306,9790,102,20235,43437
Ryde (C),12447,10345,54,11590,34438
Strathfield (A),3259,2768,39,3872,9942
Sutherland Shire (A),28086,27436,64,15134,70718
Sydney (C),8477,12814,173,36899,58363
Baulkham Hills (A),18037,22892,55,7625,48602
Waverley (A),6636,5166,29,10148,21978
Willoughby (C),8179,6653,54,7915,22802
Woollahra (A),7390,4266,19,7110,18786
Total,365249,380891,2468,369364,1117968