Local Government Areas,$1 - $99,$100 - $149,$150 - $249,$250 - $399,$400 - $549,$550 - $649,$650 - $749,$750 - $849,$850 - $949,"$950 - $1,049","$1,050 - $1,199","$1,200 - $1,399","$1,400 - $1,599","$1,600 - $1,999","$2,000 - $2,399","$2,400 - $2,999","$3,000 - $3,999","$4,000 and over",Not stated,Not applicable,Total
Rockdale (C),50,18,59,125,224,83,187,179,266,300,361,658,630,1320,1266,947,871,479,754,29291,38067
Blacktown (C),223,92,224,485,1006,524,932,825,1224,1333,1909,3100,2875,6192,5745,3723,1912,796,2505,57882,93496
Burwood (A),15,0,17,35,74,31,42,58,66,74,85,173,153,320,353,248,269,183,232,9229,11663
Camden (A),30,10,36,91,165,110,157,161,253,258,368,674,579,1476,1372,1012,587,239,551,8852,16980
Campbelltown (C),80,52,174,275,684,374,648,594,929,895,1332,1955,1860,3484,2501,1110,613,322,1307,31079,50265
Canada Bay (A),34,27,37,76,193,85,107,102,153,190,211,395,370,792,932,868,1069,883,581,21188,28303
Canterbury (C),58,39,65,176,374,176,318,322,513,490,642,1066,949,1563,1379,1086,867,409,1015,38621,50141
Bankstown (C),83,46,140,261,539,258,421,386,600,671,908,1535,1337,2401,2387,1701,1170,505,1305,44016,60669
Fairfield (C),69,47,126,340,658,384,650,555,822,819,1120,1691,1370,2354,2183,1289,847,410,1479,41565,58773
Kogarah (A),33,16,30,67,152,81,100,106,173,169,198,421,390,731,789,558,584,471,514,15161,20733
Hornsby (A),134,69,155,267,548,281,383,380,499,678,698,1251,1218,2376,2806,2586,2456,1110,1433,36641,55969
Ashfield (A),24,8,31,60,109,53,84,76,129,109,151,267,286,544,523,358,393,223,241,13474,17135
Marrickville (A),48,16,45,91,209,106,179,163,209,238,310,588,570,1071,1043,1056,1087,459,502,25192,33184
Leichhardt (A),30,17,38,82,145,71,92,92,141,160,157,304,253,619,770,851,1253,909,471,17641,24097
Ku-ring-gai (A),104,44,92,109,255,113,152,154,172,321,208,461,485,905,1378,1230,1896,2370,1183,24599,36221
Lane Cove (A),26,18,20,38,84,38,51,46,77,109,81,167,187,392,523,408,448,642,303,9453,13100
Liverpool (C),121,45,110,219,519,256,462,421,679,762,1063,1813,1628,3066,3196,2338,1528,678,1522,34685,55101
Mosman (A),17,15,17,20,51,20,39,35,30,60,56,103,99,207,276,222,341,729,299,9984,12622
North Sydney (A),34,17,33,47,101,52,68,69,121,165,125,256,262,568,776,787,877,942,442,28201,33944
Manly (A),20,3,22,35,92,33,39,37,62,86,75,161,165,308,448,416,567,730,360,13824,17487
Warringah (A),104,50,129,209,364,197,310,256,387,497,532,950,880,2005,2349,2211,2505,1632,1349,37607,54526
Pittwater (A),42,18,48,79,149,76,118,107,178,207,209,375,299,647,847,838,1073,921,636,15765,22637
Parramatta (C),111,50,122,219,441,227,346,356,508,614,779,1252,1180,2257,2232,1603,1079,460,1024,43842,58693
Penrith (C),123,56,173,373,862,377,751,678,1042,1015,1528,2457,2194,4199,3666,1917,1012,504,1707,37605,62244
Randwick (C),59,33,72,112,233,95,177,151,220,290,300,564,551,1087,1359,1195,1277,1218,898,43278,53166
Ryde (C),80,25,90,144,268,129,207,196,279,345,387,774,669,1412,1444,1178,1277,661,815,29656,40058
Strathfield (A),13,11,12,30,72,21,51,43,49,83,78,185,166,363,408,291,308,337,274,9191,11992
Sutherland Shire (A),138,84,205,341,780,377,567,532,699,960,1089,1853,1746,3688,4006,3559,3037,1669,2183,53508,81009
Sydney (C),72,21,62,131,230,100,173,179,284,350,384,737,780,1717,2010,1783,1773,1334,868,73528,86515
Baulkham Hills (A),120,66,145,265,505,257,395,355,502,683,744,1354,1313,2770,3561,3225,3209,1719,1750,31469,54409
Waverley (A),34,17,33,68,112,44,78,68,109,128,118,259,217,458,671,564,781,935,505,25176,30367
Willoughby (C),52,22,37,65,155,71,90,88,128,168,148,276,292,623,899,820,1031,1201,539,20501,27209
Woollahra (A),21,6,23,44,65,19,45,45,59,99,69,141,150,305,426,409,529,1216,599,21398,25688
Total,2202,1064,2619,4969,10419,5108,8420,7828,11567,13313,16440,28232,26092,52216,54518,42375,38510,27323,30132,953107,1336466