"Date","Price","Open","High","Low","Vol.","Change %"
"May 10, 2022","40,072.60","40,310.40","40,460.40","39,547.00","25.89M","-0.34%"
"May 09, 2022","40,211.20","40,260.40","40,719.80","40,141.30","23.83M","0.07%"
"May 06, 2022","40,184.60","41,278.80","41,278.80","39,796.00","28.88M","-2.65%"
"May 05, 2022","41,278.80","41,047.70","41,404.60","41,045.50","42.03M","0.56%"
"May 04, 2022","41,047.70","40,869.10","41,157.50","40,851.60","58.52M","0.44%"
"May 03, 2022","40,869.10","40,713.60","41,359.30","40,417.80","31.55M","0.38%"
"May 02, 2022","40,713.60","41,331.20","41,331.20","40,084.00","55.18M","-1.49%"
"Apr 29, 2022","41,331.20","40,839.20","41,331.20","40,698.60","23.28M","1.36%"
"Apr 28, 2022","40,776.70","40,642.80","40,985.00","40,642.80","20.26M","0.33%"
"Apr 27, 2022","40,642.80","41,166.40","41,166.40","40,563.00","34.15M","-1.27%"
"Apr 26, 2022","41,166.40","41,475.90","41,516.30","41,093.20","26.37M","-0.75%"
"Apr 22, 2022","41,475.90","41,251.50","41,574.10","41,003.80","27.42M","0.54%"
"Apr 21, 2022","41,251.50","40,674.30","41,309.20","40,674.30","19.67M","1.42%"
"Apr 20, 2022","40,674.30","39,650.20","41,085.40","39,650.20","27.69M","2.58%"
"Apr 19, 2022","39,650.20","39,911.70","39,911.70","39,535.40","25.76M","-0.66%"
"Apr 14, 2022","39,911.70","39,661.30","39,981.80","39,550.00","19.38M","0.63%"
"Apr 13, 2022","39,661.30","39,492.00","39,766.10","39,492.00","31.44M","0.43%"
"Apr 12, 2022","39,492.00","40,054.70","40,055.00","39,384.30","31.20M","-1.40%"
"Apr 11, 2022","40,054.70","40,100.50","40,163.20","39,933.10","21.65M","-0.11%"