Local Government Areas,$0-$49, $50-$74, $75-$99, $100-$119 , $120-$139, $140-$159, $160-$179, $180-$199, $200-$224 , $225-$249 , $250-$274, $275-$299, $300-$349, $350-$449, $450-$549, $550andover, Not stated, Not applicable, Total
Rockdale (C),338,315,163,200,167,171,213,435,1382,1157,1414,893,1793,1253,207,167,298,27501,38067
Blacktown (C),666,2046,1398,1387,1057,1052,1529,2405,4374,3236,2856,880,1196,933,126,312,1032,67007,93496
Burwood (A),147,148,69,67,52,49,77,111,272,232,426,351,789,628,140,81,127,7913,11663
Camden (A),128,113,55,68,58,96,64,81,269,445,598,243,430,283,45,18,88,13915,16980
Campbelltown (C),370,1187,1081,890,676,818,1358,1746,2753,1301,944,254,269,156,27,131,533,35788,50265
Canada Bay (A),260,286,98,116,82,94,102,87,236,225,451,482,1524,2271,741,510,220,20515,28303
Canterbury (C),462,1062,438,529,492,1321,2230,1929,2021,984,1288,760,1238,685,102,182,579,33834,50141
Bankstown (C),636,1781,837,930,656,457,374,553,1897,1714,2239,1049,1263,627,60,204,689,44692,60669
Fairfield (C),511,1239,674,963,1001,1566,1495,1430,2203,1516,1698,512,527,163,48,150,668,42404,58773
Kogarah (A),209,74,43,52,55,72,99,139,547,594,779,474,876,610,110,99,143,15753,20733
Hornsby (A),465,328,174,178,144,157,154,202,441,611,1239,975,2244,2209,641,331,325,45155,55969
Ashfield (A),144,136,85,89,102,142,221,371,899,890,1081,452,694,601,146,105,145,10845,17135
Marrickville (A),267,401,232,251,240,403,637,874,1484,955,1081,675,1711,1954,617,331,289,20792,33184
Leichhardt (A),236,395,154,125,180,143,220,236,428,288,405,301,958,2041,1245,917,203,15638,24097
Ku-ring-gai (A),266,79,18,47,29,35,29,23,83,71,143,174,452,712,623,1235,141,32069,36221
Lane Cove (A),149,157,47,46,41,31,36,41,136,194,495,443,599,534,270,328,72,9499,13100
Liverpool (C),483,1277,630,787,863,988,1259,1052,1792,1306,1702,784,1011,440,72,170,541,39939,55101
Mosman (A),110,28,18,28,12,22,25,36,153,222,328,276,605,689,354,773,95,8863,12622
North Sydney (A),354,234,103,82,78,89,82,152,463,565,1045,972,2438,3425,1728,1886,305,19932,33944
Manly (A),125,102,64,51,51,61,62,52,138,122,259,273,681,1209,694,993,143,12396,17487
Warringah (A),417,514,245,236,169,147,121,170,527,508,1110,1061,1944,2653,1456,1136,367,41743,54526
Pittwater (A),184,30,23,34,35,48,39,59,147,107,195,161,450,733,561,617,105,19096,22637
Parramatta (C),600,1604,610,707,533,501,737,1255,2804,2200,2517,1571,2161,974,150,276,703,38780,58693
Penrith (C),449,812,484,480,570,956,1057,1032,2853,2328,2022,535,712,328,59,138,468,46959,62244
Randwick (C),609,1335,489,438,381,339,273,284,651,682,1539,1409,4215,4237,1803,1407,592,32485,53166
Ryde (C),389,610,270,248,213,198,364,697,1267,1056,1244,868,1573,1705,476,314,388,28177,40058
Strathfield (A),113,203,94,55,57,42,60,166,343,255,382,358,772,711,121,91,138,8035,11992
Sutherland Shire (A),500,741,339,321,309,377,451,601,1241,1396,2009,1206,2319,2290,586,422,438,65463,81009
Sydney (C),907,2999,783,852,610,575,739,968,1624,1186,1885,1629,4856,8434,4162,4108,1170,49024,86515
Baulkham Hills (A),399,112,96,137,136,125,139,109,213,170,474,645,2103,1938,591,357,247,46416,54409
Waverley (A),324,235,74,85,68,75,83,157,393,352,662,547,1720,2611,1252,1502,293,19933,30367
Willoughby (C),296,177,93,76,65,50,58,89,108,132,353,456,1566,2243,1114,1087,227,19031,27209
Woollahra (A),319,60,28,32,39,67,99,124,255,201,323,315,919,1550,947,1900,225,18290,25688
Total,11829,20814,10008,10580,9227,11264,14477,17660,34385,27178,35191,21997,46594,51854,21261,22280,12009,957858,1336466